algo,threads,rep,total_ops,mops
debra,1,1,9889735,1.9779
token4,1,1,9335027,1.867
pacer,1,1,10901830,2.1804
debra,2,1,18733504,3.7467
token4,2,1,17480242,3.496
pacer,2,1,19147215,3.8294
debra,4,1,23790074,4.758
token4,4,1,27855405,5.5711
pacer,4,1,32826356,6.5653
debra,8,1,28750997,5.7502
token4,8,1,42898207,8.5796
pacer,8,1,49932203,9.9864
debra,16,1,36300185,7.26
token4,16,1,52734442,10.5469
pacer,16,1,,
debra,1,2,11188336,2.2377
token4,1,2,10568195,2.1136
pacer,1,2,11388306,2.2777
debra,2,2,18235088,3.647
token4,2,2,15484321,3.0969
pacer,2,2,11081102,2.2162
debra,4,2,12424974,2.485
token4,4,2,24664942,4.933
pacer,4,2,27256271,5.4513
debra,8,2,21523513,4.3047
token4,8,2,35234016,7.0468
pacer,8,2,44822173,8.9644
debra,16,2,18881003,3.7762
token4,16,2,27464459,5.4929
pacer,16,2,23537427,4.7075
debra,1,3,7261894,1.4524
token4,1,3,7682080,1.5364
pacer,1,3,9340310,1.8681
debra,2,3,17656835,3.5314
token4,2,3,13970703,2.7941
pacer,2,3,17797702,3.5595
debra,4,3,21639782,4.328
token4,4,3,24788388,4.9577
pacer,4,3,24927257,4.9855
debra,8,3,25769524,5.1539
token4,8,3,39403906,7.8808
pacer,8,3,45145260,9.0291
debra,16,3,24754228,4.9508
token4,16,3,41718675,8.3437
pacer,16,3,42192556,8.4385
debra,1,4,8923812,1.7848
token4,1,4,9424431,1.8849
pacer,1,4,10479544,2.0959
debra,2,4,17899803,3.58
token4,2,4,16519364,3.3039
pacer,2,4,17717950,3.5436
debra,4,4,22205810,4.4412
token4,4,4,27120641,5.4241
pacer,4,4,31093708,6.2187
debra,8,4,28619663,5.7239
token4,8,4,42978584,8.5957
pacer,8,4,47095180,9.419
debra,16,4,38054644,7.6109
token4,16,4,52211964,10.4424
pacer,16,4,54602338,10.9205
debra,1,5,10684954,2.137
token4,1,5,10387382,2.0775
pacer,1,5,10769618,2.1539
debra,2,5,18632426,3.7265
token4,2,5,16031455,3.2063
pacer,2,5,18203847,3.6408
debra,4,5,21114327,4.2229
token4,4,5,25166018,5.0332
pacer,4,5,30661317,6.1323
debra,8,5,27780368,5.5561
token4,8,5,37379969,7.476
pacer,8,5,44487705,8.8975
debra,16,5,36149109,7.2298
token4,16,5,56616644,11.3233
pacer,16,5,,
