cfg,algo,rep,rc,mops,avg_backlog,max_thread_peak,sum_peaks,retired,freed,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
write_8,k1,1,0,7.05,879,4800,18888,20312745,20312310,31,823,36872,147490,4771826
write_8,k4,1,0,5.404,972,10997,56100,15856840,15855416,15,4609,73745,168560,5530552
write_8,k16,1,0,5.204,957,7846,38308,15300435,15299824,13,9218,84280,210700,3264367
write_8,k64,1,0,5.134,1127,5874,30208,15113523,15112920,13,6584,105350,252839,2085892
write_8,pacer,1,0,7.849,860,5213,30701,22455680,22455132,31,658,31605,126420,3397889
write_16,k1,1,0,10.955,10555,15852,196675,30642050,30633080,31,1152,52675,337119,56073269
write_16,k4,1,0,7.104,16586,15516,202881,20465383,20447336,15,13169,126420,505679,22021792
write_16,k16,1,0,6.861,13457,11218,148495,19801468,19773728,15,21070,147490,421399,49116277
write_16,k64,1,0,7.4,11375,12704,157927,21254113,21250248,13,1152,168560,421399,35390930
write_16,pacer,1,0,9.53,17288,10454,124062,26908213,26893461,31,1152,73745,505679,47600708
read80_16,k1,1,0,17.026,9120,12081,148547,10269938,10266009,18,823,10535,210700,11157342
read80_16,k4,1,0,15.48,10841,6953,83904,9384982,9383636,18,1646,31605,210700,41260410
read80_16,k16,1,0,15.6,11193,10712,134598,9449899,9445512,18,165,42140,210700,18283693
read80_16,k64,1,0,15.717,8458,6898,68154,9521137,9507440,18,82,42140,252839,53475941
read80_16,pacer,1,0,15.748,9877,6179,82676,9533880,9522808,18,1646,21070,252839,32887253
rq_16,k1,1,0,7.46,13050,16245,133580,21057707,20988810,26,1152,63210,505679,12796489
rq_16,k4,1,0,4.236,17459,18596,132756,12074089,12041048,15,10535,210700,1179917,31175644
rq_16,k16,1,0,4.415,19276,21727,174856,12398690,12370416,13,18436,210700,842798,43427325
rq_16,k64,1,0,4.616,14896,14795,151362,13134205,13086120,13,494,210700,842798,65537720
rq_16,pacer,1,0,5.707,24495,13423,122423,16283662,16262824,26,1152,105350,1011358,42996104
write_8,k1,2,0,7.037,1263,10220,54305,20288495,20287910,26,823,36872,147490,7671834
write_8,k4,2,0,4.922,1239,9462,60543,14526390,14525768,15,5267,84280,210700,15967364
write_8,k16,2,0,4.528,1493,7916,44413,13431775,13431200,13,10535,105350,252839,21685115
write_8,k64,2,0,4.946,1414,10692,59265,14596303,14594632,13,6584,126420,252839,8322105
write_8,pacer,2,0,7.833,1148,11755,73743,22418217,22417562,31,658,31605,126420,6960798
write_16,k1,2,0,9.902,15307,12374,154712,27885715,27861155,26,1152,63210,505679,11199407
write_16,k4,2,0,6.53,22326,12345,174376,18920336,18915412,15,15802,147490,674238,23345242
write_16,k16,2,0,6.351,21789,23625,265403,18430566,18425728,13,26337,168560,589959,19800408
write_16,k64,2,0,6.426,21762,12590,166952,18633496,18630224,13,329,210700,674238,33455533
write_16,pacer,2,0,10.011,17430,18427,198923,28160668,28155191,31,1152,73745,421399,25637739
read80_16,k1,2,0,16.354,10513,10434,139198,9881756,9877405,18,823,13169,210700,10081176
read80_16,k4,2,0,15.653,9910,7470,89099,9485647,9476792,18,1317,31605,210700,47840521
read80_16,k16,2,0,16.204,9457,5734,72703,9797557,9780976,18,165,36872,210700,18356808
read80_16,k64,2,0,15.608,10966,10127,104543,9457845,9449824,18,82,42140,252839,37007765
read80_16,pacer,2,0,18.513,5224,7099,74487,11118804,11118120,18,1317,10535,147490,8236426
rq_16,k1,2,0,7.422,13208,14660,102995,20990815,20970775,26,1152,63210,589959,17561834
rq_16,k4,2,0,5.547,10470,11547,112187,15769966,15766556,15,10535,126420,505679,23361023
rq_16,k16,2,0,5.672,7776,11804,108854,16118324,16116192,13,18436,126420,421399,13857512
rq_16,k64,2,0,5.028,15331,10386,108574,14287120,14275656,13,494,210700,674238,36760725
rq_16,pacer,2,0,7.94,10452,11918,102656,22352419,22348350,31,1152,63210,421399,24929384
write_8,k1,3,0,7.873,791,6084,22307,22525035,22524585,26,658,31605,126420,5333984
write_8,k4,3,0,5.714,950,8806,58609,16703006,16702208,15,3951,73745,168560,14793451
write_8,k16,3,0,5.386,1016,8010,57379,15802769,15801976,13,9218,84280,168560,12989466
write_8,k64,3,0,5.018,1198,6937,33415,14794486,14793640,13,6584,126420,252839,5070887
write_8,pacer,3,0,7.704,846,4888,30207,22077642,22076943,31,658,31605,126420,4529978
write_16,k1,3,0,9.842,17350,13417,140795,27727027,27685535,26,1152,73745,505679,9625931
write_16,k4,3,0,6.956,18064,14155,154888,20063841,20060132,15,15802,126420,589959,23324038
write_16,k16,3,0,6.709,14170,11412,128285,19404064,19400520,13,26337,147490,589959,11707772
write_16,k64,3,0,6.383,20218,20495,254997,18523500,18505240,13,412,210700,674238,65399798
write_16,pacer,3,0,9.709,15753,16934,189652,27380246,27370368,31,1152,84280,505679,27237720
read80_16,k1,3,0,14.921,10887,5084,60747,9061168,9059140,18,823,13169,294979,21619421
read80_16,k4,3,0,14.331,14374,11861,131230,8721537,8714088,18,1646,36872,252839,12791146
read80_16,k16,3,0,16.013,10069,6102,81669,9690070,9685328,18,144,42140,210700,10497376
read80_16,k64,3,0,14.38,12738,6903,93309,8747179,8736760,18,82,52675,337119,18259142
read80_16,pacer,3,0,16.93,8396,8981,122428,10214846,10206496,18,1646,13169,210700,10997318
rq_16,k1,3,0,6.992,16810,14977,145830,19768581,19750228,26,1152,73745,674238,39677212
rq_16,k4,3,0,5.087,17897,22295,208439,14415977,14408560,15,13169,147490,674238,24226120
rq_16,k16,3,0,5.069,14074,10376,107464,14375658,14342968,13,18436,168560,674238,23438313
rq_16,k64,3,0,5.078,16805,13641,142752,14431742,14403144,13,412,210700,674238,36430730
rq_16,pacer,3,0,6.998,17727,16253,109001,19795820,19784640,26,1152,73745,674238,9791370
write_8,k1,4,0,7.378,957,8384,40560,21201426,21200830,31,658,36872,126420,9332582
write_8,k4,4,0,5.471,877,7319,29388,16036654,16036016,15,3951,73745,168560,4195362
write_8,k16,4,0,5.155,992,11246,52418,15170280,15169448,13,9218,84280,210700,3129299
write_8,k64,4,0,5.046,1142,3417,18855,14866319,14865600,13,6584,126420,252839,2869991
