cfg,K,rep,rc,total_ops,updates,rqs,searches,peak_rss_mb
write_8,1,1,0,40028910,40028910,,,4410
write_8,2,1,0,31609265,31609265,,,4378
write_8,4,1,0,29357944,29357944,,,4367
write_8,8,1,0,26516018,26516018,,,4353
write_8,16,1,0,26777931,26777931,,,4354
write_8,64,1,0,25262068,25262068,,,4347
write_16,1,1,0,47136950,47136950,,,4444
write_16,2,1,0,35125371,35125371,,,4412
write_16,4,1,0,35045678,35045678,,,4408
write_16,8,1,0,37537890,37537890,,,4411
write_16,16,1,0,35341164,35341164,,,4413
write_16,64,1,0,31980155,31980155,,,4406
read80_8,1,1,0,68505071,13703303,,54801768,4266
read80_8,2,1,0,67274874,13450004,,53824870,4264
read80_8,4,1,0,68099705,13623291,,54476414,4265
read80_8,8,1,0,66361878,13276972,,53084906,4262
read80_8,16,1,0,67149359,13430936,,53718423,4263
read80_8,64,1,0,66428936,13285636,,53143300,4262
read80_16,1,1,0,73154717,14630375,,58524342,4275
read80_16,2,1,0,82417074,16479845,,65937229,4293
read80_16,4,1,0,73879813,14777804,,59102009,4280
read80_16,8,1,0,71853426,14364433,,57488993,4280
read80_16,16,1,0,81744188,16344803,,65399385,4289
read80_16,64,1,0,77707975,15543281,,62164694,4286
rq_8,1,1,0,30320705,29775617,545088,,4369
rq_8,2,1,0,22459321,21628098,831223,,4325
rq_8,4,1,0,21531310,20700415,830895,,4319
rq_8,8,1,0,21439966,20520861,919105,,4318
rq_8,16,1,0,20380804,19177446,1203358,,4309
rq_8,64,1,0,20829111,19858184,970927,,4314
rq_16,1,1,0,37378721,36615786,762935,,4404
rq_16,2,1,0,29987677,29182105,805572,,4376
rq_16,4,1,0,30977938,30104492,873446,,4380
rq_16,8,1,0,24988124,23932362,1055762,,4350
rq_16,16,1,0,25828491,24766679,1061812,,4358
rq_16,64,1,0,25459858,24340954,1118904,,4350
write_8,1,2,0,40260496,40260496,,,4411
write_8,2,2,0,31005413,31005413,,,4375
write_8,4,2,0,29740308,29740308,,,4369
write_8,8,2,0,27674546,27674546,,,4359
write_8,16,2,0,27378081,27378081,,,4357
write_8,64,2,0,26447289,26447289,,,4353
write_16,1,2,0,55984828,55984828,,,4463
write_16,2,2,0,44975869,44975869,,,4437
write_16,4,2,0,39204401,39204401,,,4424
write_16,8,2,0,36076369,36076369,,,4414
write_16,16,2,0,36867684,36867684,,,4409
write_16,64,2,0,35011360,35011360,,,4407
read80_8,1,2,0,70415261,14081488,,56333773,4269
read80_8,2,2,0,64981265,12993356,,51987909,4260
read80_8,4,2,0,67394926,13478690,,53916236,4264
read80_8,8,2,0,64749539,12948561,,51800978,4259
read80_8,16,2,0,67922313,13589926,,54332387,4265
read80_8,64,2,0,70255730,14046194,,56209536,4269
read80_16,1,2,0,87928418,17582409,,70346009,4303
read80_16,2,2,0,87405451,17480495,,69924956,4305
read80_16,4,2,0,93233957,18648936,,74585021,4307
read80_16,8,2,0,86023164,17205226,,68817938,4299
read80_16,16,2,0,89313405,17863863,,71449542,4304
read80_16,64,2,0,82905561,16579493,,66326068,4292
rq_8,1,2,0,31079477,30546868,532609,,4373
rq_8,2,2,0,25478611,24689913,788698,,4344
rq_8,4,2,0,22259682,21443594,816088,,4324
rq_8,8,2,0,22303817,21388164,915653,,4324
rq_8,16,2,0,20442002,19499294,942708,,4311
rq_8,64,2,0,21211260,20323742,887518,,4316
rq_16,1,2,0,42442154,41852933,589221,,4435
rq_16,2,2,0,29998483,29127202,871281,,4371
rq_16,4,2,0,28372499,27267037,1105462,,4364
rq_16,8,2,0,24770813,23774279,996534,,4354
rq_16,16,2,0,27079284,26107753,971531,,4356
rq_16,64,2,0,26402640,25295394,1107246,,4359
write_8,1,3,0,41838102,41838102,,,4417
write_8,2,3,0,32860145,32860145,,,4383
write_8,4,3,0,28068888,28068888,,,4361
write_8,8,3,0,27211702,27211702,,,4357
write_8,16,3,0,26660780,26660780,,,4356
write_8,64,3,0,27250397,27250397,,,4358
write_16,1,3,0,55672988,55672988,,,4469
write_16,2,3,0,43177056,43177056,,,4442
write_16,4,3,0,38974703,38974703,,,4426
write_16,8,3,0,38415167,38415167,,,4421
write_16,16,3,0,37456564,37456564,,,4414
write_16,64,3,0,36438048,36438048,,,4418
read80_8,1,3,0,67290638,13455560,,53835078,4264
read80_8,2,3,0,69779610,13954771,,55824839,4268
read80_8,4,3,0,67284959,13459242,,53825717,4264
read80_8,8,3,0,68533965,13705894,,54828071,4266
read80_8,16,3,0,68003546,13598547,,54404999,4265
read80_8,64,3,0,66902977,13376836,,53526141,4263
read80_16,1,3,0,96152383,19226057,,76926326,4311
read80_16,2,3,0,85884419,17179148,,68705271,4297
read80_16,4,3,0,93326660,18660464,,74666196,4307
read80_16,8,3,0,83915061,16781518,,67133543,4293
read80_16,16,3,0,86043739,17196139,,68847600,4301
read80_16,64,3,0,90458427,18085552,,72372875,4304
rq_8,1,3,0,32112263,31565516,546747,,4378
rq_8,2,3,0,25976959,25171974,804985,,4346
rq_8,4,3,0,22739023,21881048,857975,,4326
rq_8,8,3,0,21550811,20666383,884428,,4318
rq_8,16,3,0,21873818,20945763,928055,,4320
rq_8,64,3,0,21461647,20587517,874130,,4318
rq_16,1,3,0,41560764,40958289,602475,,4417
rq_16,2,3,0,31004067,30245718,758349,,4376
rq_16,4,3,0,28742840,27775877,966963,,4366
rq_16,8,3,0,29572177,28540167,1032010,,4371
rq_16,16,3,0,26788055,25866478,921577,,4362
rq_16,64,3,0,28658992,27626041,1032951,,4366
write_8,1,4,0,41274601,41274601,,,4414
write_8,2,4,0,32404604,32404604,,,4381
write_8,4,4,0,28625294,28625294,,,4364
write_8,8,4,0,28020093,28020093,,,4361
write_8,16,4,0,26637750,26637750,,,4354
write_8,64,4,0,24719899,24719899,,,4343
write_16,1,4,0,53803813,53803813,,,4455
write_16,2,4,0,41230146,41230146,,,4431
write_16,4,4,0,40009589,40009589,,,4420
write_16,8,4,0,38900452,38900452,,,4421
write_16,16,4,0,33798199,33798199,,,4398
write_16,64,4,0,35254070,35254070,,,4403
read80_8,1,4,0,69830528,13967780,,55862748,4268
read80_8,2,4,0,64585030,12917370,,51667660,4259
read80_8,4,4,0,71277558,14254911,,57022647,4271
read80_8,8,4,0,69103023,13823590,,55279433,4267
read80_8,16,4,0,69310325,13859335,,55450990,4267
read80_8,64,4,0,71483487,14296177,,57187310,4271
read80_16,1,4,0,98529419,19708325,,78821094,4314
read80_16,2,4,0,95216636,19033332,,76183304,4313
read80_16,4,4,0,90381822,18080070,,72301752,4303
read80_16,8,4,0,92885342,18575420,,74309922,4309
read80_16,16,4,0,94358166,18872037,,75486129,4310
read80_16,64,4,0,94674568,18936694,,75737874,4311
rq_8,1,4,0,32167284,31602544,564740,,4378
rq_8,2,4,0,23116844,22393887,722957,,4330
rq_8,4,4,0,20192968,19372645,820323,,4311
rq_8,8,4,0,19504085,18638945,865140,,4305
rq_8,16,4,0,20400044,19551749,848295,,4311
rq_8,64,4,0,19405678,18470550,935128,,4304
rq_16,1,4,0,37977293,37336522,640771,,4406
rq_16,2,4,0,31200099,30271059,929040,,4378
rq_16,4,4,0,23832811,22832001,1000810,,4348
rq_16,8,4,0,20576130,19050106,1526024,,4441
rq_16,16,4,0,24709232,23828982,880250,,4354
rq_16,64,4,0,21702656,20711703,990953,,4341
write_8,1,5,0,40664393,40664393,,,4413
write_8,2,5,0,26960761,26960761,,,4356
write_8,4,5,0,27553728,27553728,,,4359
write_8,8,5,0,25734832,25734832,,,4349
write_8,16,5,0,27040095,27040095,,,4356
write_8,64,5,0,27758424,27758424,,,4360
write_16,1,5,0,50588726,50588726,,,4457
write_16,2,5,0,44575914,44575914,,,4438
write_16,4,5,0,35591014,35591014,,,4416
write_16,8,5,0,34532795,34532795,,,4409
write_16,16,5,0,36668258,36668258,,,4412
write_16,64,5,0,32909151,32909151,,,4400
read80_8,1,5,0,69173750,13836318,,55337432,4267
read80_8,2,5,0,62226758,12450890,,49775868,4255
read80_8,4,5,0,61567256,12313501,,49253755,4254
read80_8,8,5,0,70207375,14038267,,56169108,4269
read80_8,16,5,0,62664059,12532854,,50131205,4256
read80_8,64,5,0,65622225,13123958,,52498267,4261
read80_16,1,5,0,85833849,17165863,,68667986,4298
read80_16,2,5,0,78610640,15732374,,62878266,4285
read80_16,4,5,0,82787950,16561934,,66226016,4294
read80_16,8,5,0,84686958,16938122,,67748836,4295
read80_16,16,5,0,78797440,15756905,,63040535,4291
read80_16,64,5,0,83319835,16660498,,66659337,4294
rq_8,1,5,0,31134147,30613932,520215,,4373
rq_8,2,5,0,23804399,23059867,744532,,4334
rq_8,4,5,0,20672699,19837195,835504,,4314
rq_8,8,5,0,21160941,20260868,900073,,4318
rq_8,16,5,0,19786129,18932993,853136,,4309
rq_8,64,5,0,21144869,20299048,845821,,4317
rq_16,1,5,0,30932780,30259336,673444,,4385
rq_16,2,5,0,31522062,30761410,760652,,4383
rq_16,4,5,0,27600396,26716370,884026,,4363
rq_16,8,5,0,24140585,23299375,841210,,4355
rq_16,16,5,0,22641661,21647053,994608,,4334
rq_16,64,5,0,22890721,21737520,1153201,,4337
