algo,threads,rep,total_ops,mops,rc
debra,1,1,12293058,2.4586,0
token4,1,1,11400027,2.28,0
pacer,1,1,11980797,2.3962,0
debra,2,1,21686909,4.3374,0
token4,2,1,20526511,4.1053,0
pacer,2,1,19469577,3.8939,0
debra,4,1,33276947,6.6554,0
token4,4,1,33068356,6.6137,0
pacer,4,1,31298438,6.2597,0
debra,8,1,44769118,8.9538,0
token4,8,1,45183369,9.0367,0
pacer,8,1,46646253,9.3293,0
debra,16,1,56478603,11.2957,0
token4,16,1,63164950,12.633,0
pacer,16,1,63473089,12.6946,0
debra,1,2,12990414,2.5981,0
token4,1,2,13062124,2.6124,0
pacer,1,2,13303652,2.6607,0
debra,2,2,23592249,4.7184,0
token4,2,2,19908925,3.9818,0
pacer,2,2,20369357,4.0739,0
debra,4,2,36816278,7.3633,0
token4,4,2,34940697,6.9881,0
pacer,4,2,34164056,6.8328,0
debra,8,2,46556141,9.3112,0
token4,8,2,50817124,10.1634,0
pacer,8,2,50894036,10.1788,0
debra,16,2,61822518,12.3645,0
token4,16,2,67140097,13.428,0
pacer,16,2,69300277,13.8601,0
debra,1,3,13209509,2.6419,0
token4,1,3,13302463,2.6605,0
pacer,1,3,13271479,2.6543,0
debra,2,3,23339024,4.6678,0
token4,2,3,21140072,4.228,0
pacer,2,3,19517358,3.9035,0
debra,4,3,33819237,6.7638,0
token4,4,3,30522836,6.1046,0
pacer,4,3,32901774,6.5804,0
debra,8,3,43351766,8.6704,0
token4,8,3,44009779,8.802,0
pacer,8,3,44310980,8.8622,0
debra,16,3,58666235,11.7332,0
token4,16,3,64178185,12.8356,0
pacer,16,3,62628616,12.5257,0
debra,1,4,12463771,2.4928,0
token4,1,4,13146650,2.6293,0
pacer,1,4,12753243,2.5506,0
debra,2,4,23640463,4.7281,0
token4,2,4,20357574,4.0715,0
pacer,2,4,20181068,4.0362,0
debra,4,4,37650260,7.5301,0
token4,4,4,33372240,6.6744,0
pacer,4,4,34403739,6.8807,0
debra,8,4,44582458,8.9165,0
token4,8,4,51048752,10.2098,0
pacer,8,4,50463707,10.0927,0
debra,16,4,59573672,11.9147,0
token4,16,4,58770906,11.7542,0
pacer,16,4,56420943,11.2842,0
debra,1,5,12913670,2.5827,0
token4,1,5,12874582,2.5749,0
pacer,1,5,12279724,2.4559,0
debra,2,5,22988081,4.5976,0
token4,2,5,19735809,3.9472,0
pacer,2,5,19886459,3.9773,0
debra,4,5,36782341,7.3565,0
token4,4,5,32638825,6.5278,0
pacer,4,5,33139675,6.6279,0
debra,8,5,41762021,8.3524,0
token4,8,5,47219055,9.4438,0
pacer,8,5,48125517,9.6251,0
debra,16,5,54096324,10.8193,0
token4,16,5,62597454,12.5195,0
pacer,16,5,58893522,11.7787,0
