algo,threads,rep,total_ops,mops,rc
debra,1,1,16745588,3.3491,0
token4,1,1,17600294,3.5201,0
pacer,1,1,16754575,3.3509,0
debra,2,1,30016974,6.0034,0
token4,2,1,27230154,5.446,0
pacer,2,1,26119615,5.2239,0
debra,4,1,40051463,8.0103,0
token4,4,1,41129922,8.226,0
pacer,4,1,41403340,8.2807,0
debra,8,1,70080931,14.0162,0
token4,8,1,63257717,12.6515,0
pacer,8,1,69227411,13.8455,0
debra,16,1,83685626,16.7371,0
token4,16,1,79790190,15.958,0
pacer,16,1,84374438,16.8749,0
debra,1,2,15944934,3.189,0
token4,1,2,17338929,3.4678,0
pacer,1,2,16195784,3.2392,0
debra,2,2,27951705,5.5903,0
token4,2,2,24609847,4.922,0
pacer,2,2,24723759,4.9448,0
debra,4,2,46814517,9.3629,0
token4,4,2,38641969,7.7284,0
pacer,4,2,43677038,8.7354,0
debra,8,2,68465728,13.6931,0
token4,8,2,64774498,12.9549,0
pacer,8,2,68906772,13.7814,0
debra,16,2,79370747,15.8741,0
token4,16,2,81597222,16.3194,0
pacer,16,2,90207766,18.0416,0
debra,1,3,17092034,3.4184,0
token4,1,3,16524842,3.305,0
pacer,1,3,16581871,3.3164,0
debra,2,3,29837577,5.9675,0
token4,2,3,27808734,5.5617,0
pacer,2,3,27893893,5.5788,0
debra,4,3,49851614,9.9703,0
token4,4,3,42917137,8.5834,0
pacer,4,3,44884466,8.9769,0
debra,8,3,70118407,14.0237,0
token4,8,3,67688800,13.5378,0
pacer,8,3,61732939,12.3466,0
debra,16,3,82142482,16.4285,0
token4,16,3,77747922,15.5496,0
pacer,16,3,77411232,15.4822,0
debra,1,4,16466471,3.2933,0
token4,1,4,16104093,3.2208,0
pacer,1,4,16672332,3.3345,0
debra,2,4,28974995,5.795,0
token4,2,4,27208884,5.4418,0
pacer,2,4,27126070,5.4252,0
debra,4,4,44528537,8.9057,0
token4,4,4,42759585,8.5519,0
pacer,4,4,43555282,8.7111,0
debra,8,4,67323074,13.4646,0
token4,8,4,67231637,13.4463,0
pacer,8,4,63138508,12.6277,0
debra,16,4,78389851,15.678,0
token4,16,4,91685995,18.3372,0
pacer,16,4,86569876,17.314,0
debra,1,5,17687253,3.5375,0
token4,1,5,16122866,3.2246,0
pacer,1,5,17447976,3.4896,0
debra,2,5,29870514,5.9741,0
token4,2,5,27737001,5.5474,0
pacer,2,5,26769602,5.3539,0
debra,4,5,46754787,9.351,0
token4,4,5,43873192,8.7746,0
pacer,4,5,44261921,8.8524,0
debra,8,5,72121284,14.4243,0
token4,8,5,62404803,12.481,0
pacer,8,5,61503521,12.3007,0
debra,16,5,76855273,15.3711,0
token4,16,5,75042226,15.0084,0
pacer,16,5,75329043,15.0658,0
