algo,threads,rep,total_ops,mops,rc
debra,1,1,10599049,2.1198,0
token4,1,1,9562483,1.9125,0
pacer,1,1,10371693,2.0743,0
pacer_orig,1,1,10876754,2.1754,0
debra,2,1,18277854,3.6556,0
token4,2,1,17579634,3.5159,0
pacer,2,1,16596686,3.3193,0
pacer_orig,2,1,19201612,3.8403,0
debra,4,1,21797260,4.3595,0
token4,4,1,28367798,5.6736,0
pacer,4,1,27471859,5.4944,0
pacer_orig,4,1,32386828,6.4774,0
debra,8,1,28293877,5.6588,0
token4,8,1,41594351,8.3189,0
pacer,8,1,41779843,8.356,0
pacer_orig,8,1,48893542,9.7787,0
debra,16,1,36823947,7.3648,0
token4,16,1,55988396,11.1977,0
pacer,16,1,51092278,10.2185,0
pacer_orig,16,1,48011412,9.6023,0
debra,1,2,11006532,2.2013,0
token4,1,2,10179073,2.0358,0
pacer,1,2,10804138,2.1608,0
pacer_orig,1,2,10583967,2.1168,0
debra,2,2,18574974,3.715,0
token4,2,2,17332860,3.4666,0
pacer,2,2,17469996,3.494,0
pacer_orig,2,2,19078028,3.8156,0
debra,4,2,23018512,4.6037,0
token4,4,2,28277557,5.6555,0
pacer,4,2,27897930,5.5796,0
pacer_orig,4,2,32873305,6.5747,0
debra,8,2,27866791,5.5734,0
token4,8,2,42845358,8.5691,0
pacer,8,2,42079295,8.4159,0
pacer_orig,8,2,50245581,10.0491,0
debra,16,2,39027187,7.8054,0
token4,16,2,43732044,8.7464,0
pacer,16,2,32582744,6.5165,0
pacer_orig,16,2,41628231,8.3256,0
debra,1,3,9805229,1.961,0
token4,1,3,10376352,2.0753,0
pacer,1,3,10332770,2.0666,0
pacer_orig,1,3,8728077,1.7456,0
debra,2,3,16266579,3.2533,0
token4,2,3,15912859,3.1826,0
pacer,2,3,13576689,2.7153,0
pacer_orig,2,3,16822721,3.3645,0
debra,4,3,22412454,4.4825,0
token4,4,3,28226448,5.6453,0
pacer,4,3,26157213,5.2314,0
pacer_orig,4,3,27903068,5.5806,0
debra,8,3,26754729,5.3509,0
token4,8,3,41772959,8.3546,0
pacer,8,3,40941187,8.1882,0
pacer_orig,8,3,,,134
debra,16,3,34939974,6.988,0
token4,16,3,45594342,9.1189,0
pacer,16,3,46456620,9.2913,0
pacer_orig,16,3,,,134
debra,1,4,10157317,2.0315,0
token4,1,4,9395316,1.8791,0
pacer,1,4,8823985,1.7648,0
pacer_orig,1,4,9636408,1.9273,0
debra,2,4,15564440,3.1129,0
token4,2,4,16807797,3.3616,0
pacer,2,4,16287136,3.2574,0
pacer_orig,2,4,18418824,3.6838,0
debra,4,4,21691317,4.3383,0
token4,4,4,28435791,5.6872,0
pacer,4,4,27102238,5.4204,0
pacer_orig,4,4,26628128,5.3256,0
debra,8,4,27614342,5.5229,0
token4,8,4,38461715,7.6923,0
pacer,8,4,35886908,7.1774,0
pacer_orig,8,4,40398857,8.0798,0
debra,16,4,31851155,6.3702,0
token4,16,4,45267204,9.0534,0
pacer,16,4,46327718,9.2655,0
pacer_orig,16,4,42339009,8.4678,0
debra,1,5,8946231,1.7892,0
token4,1,5,9186292,1.8373,0
pacer,1,5,10043492,2.0087,0
pacer_orig,1,5,10201798,2.0404,0
debra,2,5,17480808,3.4962,0
token4,2,5,16249682,3.2499,0
pacer,2,5,17041088,3.4082,0
pacer_orig,2,5,,,255
debra,4,5,20532051,4.1064,0
token4,4,5,27956095,5.5912,0
pacer,4,5,26008744,5.2017,0
pacer_orig,4,5,31035572,6.2071,0
debra,8,5,24335699,4.8671,0
token4,8,5,40061454,8.0123,0
pacer,8,5,39907756,7.9816,0
pacer_orig,8,5,,,134
debra,16,5,32283603,6.4567,0
token4,16,5,42726699,8.5453,0
pacer,16,5,46427404,9.2855,0
pacer_orig,16,5,45405492,9.0811,0
